course_id,course_name,category,duration,enrolled_students,platform,price,completion_rate_clean,rating_clean
1,Course_1,Office Tools,21,4217,Coursera,3.879.742.459.354.720,5.064,4.8
2,Course_2,Office Tools,57,4238,edX,1.606.509.909.078.540,8.224,3.8
3,Course_3,Technology,52,2700,LinkedIn Learning,1.235.037.809.574.650,5.572,4.8
4,Course_4,Office Tools,69,4308,LinkedIn Learning,11.677.570.388.204.600,58.664,3.9
5,Course_5,Technology,43,4792,Udemy,9.624.669.562.956.640,62.598,4.9
6,Course_6,Finance,66,3792,edX,12.750.992.015.811.900,9.667,3.2
7,Course_7,Marketing,29,2607,Coursera,15.554.111.676.492.900,7.183,4.1
8,Course_8,Design,21,964,edX,7.994.094.433.268.500,9.907,3.0
9,Course_9,Programming,57,1246,LinkedIn Learning,17.467.747.992.086.800,7.881,4.4
10,Course_10,Design,59,489,edX,820.948.190.093.404,5.889,3.3
11,Course_11,Finance,80,3118,edX,19.404.973.359.495.300,9.279,3.7
12,Course_12,Data Science,88,1590,LinkedIn Learning,62.062.786.462.699.800,6.089,4.6
13,Course_13,Programming,23,3681,Coursera,18.751.100.477.424.100,8.588,3.5
14,Course_14,Programming,61,3096,edX,5.072.613.533.740.810,9.132,4.2
15,Course_15,Business,42,3272,LinkedIn Learning,19.484.242.119.615.100,8.131,3.7
16,Course_16,Office Tools,40,1172,Coursera,24.666.025.463.435.300,56.726,3.0
18,Course_18,Technology,67,4418,LinkedIn Learning,14.775.797.734.812.400,9.634,3.5
19,Course_19,Finance,21,1548,edX,45.057.920.745.871.400,9.076,3.8
20,Course_20,Marketing,17,2884,LinkedIn Learning,18.860.433.942.063.400,6.463,4.4
21,Course_21,Office Tools,48,1025,LinkedIn Learning,1.911.184.521.313.020,9.351,4.2
22,Course_22,Data Science,62,2673,Udemy,14.088.630.874.986.900,9.243,3.9
23,Course_23,Office Tools,30,1258,Coursera,135.300.874.124.823,9.267,4.5
24,Course_24,Office Tools,64,2598,Udemy,6.615.181.048.252.110,5.129,3.5
25,Course_25,AI,30,1076,Coursera,1.358.662.127.587.780,8.411,3.0
26,Course_26,Finance,77,2996,Udemy,17.847.268.117.131.800,6.259,3.2
27,Course_27,Office Tools,15,2940,Coursera,12.063.976.857.208.800,7.879,4.1
