Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5),percentage
1,Course_1,Office Tools,21,4217,5.064.682.700.093.030,Coursera,3.879.742.459.354.720,4.811.251.609.761.660,"0,00%"
2,Course_2,Office Tools,57,4238,8.224.023.980.407.600,edX,1.606.509.909.078.540,3.829.329.393.519.920,"0,00%"
3,Course_3,Technology,52,2700,5.572.902.846.441.630,LinkedIn Learning,1.235.037.809.574.650,4.851.950.080.367.600,"0,00%"
4,Course_4,Office Tools,69,4308,58.664.729.433.480.400,LinkedIn Learning,11.677.570.388.204.600,39.137.318.442.466.600,"0,00%"
5,Course_5,Technology,43,4792,62.598.147.478.553.200,Udemy,9.624.669.562.956.640,4.921.968.098.570.230,"0,00%"
6,Course_6,Finance,66,3792,9.667.190.043.026.230,edX,12.750.992.015.811.900,32.522.834.617.959.400,"0,00%"
7,Course_7,Marketing,29,2607,7.183.044.120.821.300,Coursera,15.554.111.676.492.900,4.101.806.831.865.630,"0,00%"
8,Course_8,Design,21,964,9.907.627.239.878.460,edX,7.994.094.433.268.500,30.887.304.873.261.400,"0,00%"
9,Course_9,Programming,57,1246,7.881.762.243.572.980,LinkedIn Learning,17.467.747.992.086.800,4.498.471.275.642.790,"0,00%"
10,Course_10,Design,59,489,5.889.606.775.722.340,edX,820.948.190.093.404,3.341.867.502.083.230,"0,00%"
11,Course_11,Finance,80,3118,9.279.344.906.357.990,edX,19.404.973.359.495.300,3.716.273.441.716.620,"0,00%"
12,Course_12,Data Science,88,1590,6.089.317.065.137.860,LinkedIn Learning,62.062.786.462.699.800,460.411.791.834.412,"0,00%"
13,Course_13,Programming,23,3681,8.588.238.253.372.980,Coursera,18.751.100.477.424.100,35.810.959.574.040.400,"0,00%"
14,Course_14,Programming,61,3096,9.132.513.029.519.060,edX,5.072.613.533.740.810,4.213.903.901.189.940,"0,00%"
15,Course_15,Business,42,3272,8.131.929.238.657.430,LinkedIn Learning,19.484.242.119.615.100,3.707.730.696.797.370,"0,00%"
16,Course_16,Office Tools,40,1172,56.726.895.297.941.500,Coursera,24.666.025.463.435.300,30.516.662.606.389.400,"0,00%"
17,Course_17,Programming,35,237,582.347.895.101.027,Udemy,6.079.261.168.492.660,31.594.239.112.548.400,"0,00%"
18,Course_18,Technology,67,4418,9.634.017.220.956.990,LinkedIn Learning,14.775.797.734.812.400,35.286.665.481.097.900,"0,00%"
19,Course_19,Finance,21,1548,9.076.913.264.707.400,edX,45.057.920.745.871.400,3.801.424.621.165.610,"0,00%"
20,Course_20,Marketing,17,2884,6.463.250.119.591.330,LinkedIn Learning,18.860.433.942.063.400,4.442.078.565.026.380,"0,00%"
21,Course_21,Office Tools,48,1025,9.351.465.764.557.420,LinkedIn Learning,1.911.184.521.313.020,4.270.262.092.491.020,"0,00%"
22,Course_22,Data Science,62,2673,9.243.578.375.976.710,Udemy,14.088.630.874.986.900,3.928.142.296.785.200,"0,00%"
23,Course_23,Office Tools,30,1258,9.267.762.193.505.840,Coursera,135.300.874.124.823,4.579.387.883.714.220,"0,00%"
24,Course_24,Office Tools,64,2598,5.129.366.135.853.740,Udemy,6.615.181.048.252.110,35.316.851.549.855.200,"0,00%"
25,Course_25,AI,30,1076,8.411.985.220.897.870,Coursera,1.358.662.127.587.780,3.029.927.217.991.220,"0,00%"
26,Course_26,Finance,77,2996,6.259.945.850.894.010,Udemy,17.847.268.117.131.800,3.261.758.426.965.290,"0,00%"
27,Course_27,Office Tools,15,2940,7.879.583.917.707.080,Coursera,12.063.976.857.208.800,4.145.450.071.890.540,"0,00%"
28,Course_28,Data Science,12,3613,5.306.259.535.713.100,Coursera,905.638.989.973.893,4.517.857.391.618.620,"0,00%"
29,Course_29,Marketing,95,4489,56.861.775.797.295.500,edX,15.910.918.969.364.300,35.708.770.248.334.500,"0,00%"
30,Course_30,Design,60,2855,6.469.834.538.693.960,Udemy,11.526.479.652.101.000,4.676.358.859.613.260,"0,00%"
31,Course_31,Marketing,47,2913,9.175.641.337.475.970,edX,11.362.108.734.523.700,3.564.890.433.090.770,"0,00%"
32,Course_32,Design,26,4502,7.964.014.242.730.600,LinkedIn Learning,14.484.705.940.587.200,40.321.435.304.712.100,"0,00%"
33,Course_33,Technology,52,2241,6.333.669.579.481.840,LinkedIn Learning,6.253.261.867.058.300,4.623.942.405.683.760,"0,00%"
34,Course_34,Business,14,974,6.132.588.690.321.180,edX,6.679.180.201.167.600,4.745.948.103.203.230,"0,00%"
35,Course_35,Programming,15,1025,7.497.968.136.286.920,LinkedIn Learning,17.167.945.927.377.900,38.723.091.146.931.900,"0,00%"
36,Course_36,Office Tools,66,3603,8.638.853.847.399.910,Coursera,1.613.441.399.074.510,32.532.146.256.081.000,"0,00%"
37,Course_37,Programming,16,2179,7.808.386.216.011.830,edX,15.873.985.576.616.500,36.704.431.285.011.000,"0,00%"
38,Course_38,Finance,41,178,8.050.992.601.990.420,Udemy,1.530.854.345.943.390,4.798.317.057.006.070,"0,00%"
39,Course_39,AI,38,3989,6.640.207.521.759.570,Udemy,2.608.560.803.800.650,4.991.139.495.183.230,"0,00%"
40,Course_40,Design,19,2883,5.563.165.319.236.440,Udemy,11.905.294.676.970.500,31.217.476.710.043.300,"0,00%"
41,Course_41,Marketing,88,2840,7.883.769.934.992.170,Udemy,36.012.941.335.039.300,32.747.030.928.492.400,"0,00%"
42,Course_42,Technology,74,3265,5.299.990.117.615.690,Udemy,413.289.332.748.605,47.543.495.055.945.700,"0,00%"
43,Course_43,Technology,57,1736,5.049.619.842.940.300,Udemy,13.005.091.381.846.600,3.738.843.499.936.590,"0,00%"
44,Course_44,Data Science,75,2331,6.538.183.329.040.400,Coursera,17.290.070.266.727.800,4.506.401.675.528.570,"0,00%"
45,Course_45,Office Tools,98,3821,6.994.428.131.435.410,Udemy,11.792.771.163.931.200,4.724.956.282.939.770,"0,00%"
46,Course_46,Office Tools,22,2887,5.787.191.714.159.190,LinkedIn Learning,14.064.165.871.567.800,31.362.719.057.120.600,"0,00%"
47,Course_47,Business,97,2772,5.056.572.307.946.890,edX,192.025.062.017.246,4.505.764.777.115.720,"0,00%"
48,Course_48,AI,73,3820,7.741.845.514.374.820,Coursera,14.956.050.114.703.700,4.454.383.692.965.710,"0,00%"
49,Course_49,AI,36,3756,7.248.191.192.553.930,LinkedIn Learning,10.618.458.407.777.100,458.672.857.420.294,"0,00%"
50,Course_50,Programming,40,3089,5.207.101.480.650.340,Udemy,743.645.528.195.237,38.647.288.693.238.200,"0,00%"
51,Course_51,Design,50,2360,9.028.898.617.424.940,Udemy,18.716.046.173.636.400,4.821.477.394.516.810,"0,00%"
52,Course_52,AI,50,1440,9.233.134.697.754.780,LinkedIn Learning,3.462.950.131.669.930,34.892.681.172.698.800,"0,00%"
53,Course_53,Technology,39,693,7.885.997.738.720.770,edX,3.739.828.555.613.470,34.234.144.290.629.100,"0,00%"
54,Course_54,Programming,59,2172,7.810.566.645.303.310,Udemy,5.863.620.102.833.180,4.389.106.740.843.320,"0,00%"
